Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9781476738024,paperback,to-read,2020/12/31,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Poppy War,R.F. Kuang,"",9780062662590,digital,read,2019/03/04,2019/03/10,2019/03/10,1,"",,,,,,,5.0,"This book sucked me in, got me invested and then went really dark. It is brutal, disturbing and sickening at points. What you want to happen, doesn't happen. It is also brilliant. It starts off with a bunch of my favourite overused  tropes but where is goes is unexpected. The characters are flawed, they are angry, arrogant and stubborn. You start to like them, root for them but then they do something that you don't agree with, that makes you uncomfortable. But then you understand why they did it and it makes it harder to condemn them.<br> <br>The author did a blog on why she went so graphic with the violence (https://rfkuang.com/2018/05/13/on-the-necessity-of-brutality-why-i-went-there/ ) I highly recommend reading it as explains her reasoning and has a list of content warnings.","",,"",Yes
The Vela: The Complete Season 1,"Becky Chambers, Rivers Solomon, SL Huang, Yoon Ha Lee","",9781682106181,digital,to-read,2020/04/21,"","",0,"",,,,,,,,,"",,"",No
The Tropic Of Serpents,Marie Brennan,"",9780765331977,hardcover,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Tarnished Are the Stars,Rosiee Thor,"","",,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Beyond the Gender Binary,Alok Vaid-Menon,Ashley Lukashevsky (Illustrator),9780593094655,paperback,read,2020/09/15,2020/09/15,2020/09/15,1,"reflective, informative",medium,,,,,,5.0,<div>Engagingly written and thought provoking.</div>,"",,"",No
Silverthorn,Raymond E. Feist,"",,,read,2015/01/23,2016/07/19,2016/07/19,1,"",,,,,,,4.0,,"",,"",No
Middlegame,Seanan McGuire,"","",,read,2020/04/18,2020/04/19,2020/04/19,1,"dark, challenging, adventurous",medium,,Yes,Yes,No,Yes,5.0,"","",,"",Yes
Every Heart a Doorway,Seanan McGuire,"",9780765385505,hardcover,read,,2018/09/03,2018/09/03,1,"",,,,,,,5.0,"I wish this was longer. The story and the characters grabbed me from the beginning and wouldn't let go. It was funny at points, dark and creepy in others and I really liked how it acknowledged that people are different. People like and feel different things, they thrive in different environments and that's okay. I can't wait to read the rest of the novellas.","",,"",Yes
Sandry's Book,Tamora Pierce,"",,,read,,"","",1,"",,,,,,,3.0,,"",,"",No
"Giant Days, Vol. 5","Jim Campbell, John Allison, Max Sarin, Liz Fleming, Whitney Cogar","","",,to-read,2020/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
Squire,Tamora Pierce,"",,,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
All Systems Red,Martha Wells,"",9780765397522,digital,read,,2018/07/01,2018/07/01,1,"",,,,,,,3.0,,"",,"",Yes
"Snow, Glass, Apples Chapbook","Julie Dillon, Neil Gaiman","","",paperback,read,2019/12/27,2019/12/27,2019/12/27,1,"",,,,,,,4.0,"Super dark and creepy Snow White retelling, I loved seeing things from the stepmother's point of view. The book is incredibly well illustrated, the art manages to be both beautiful and horrifying. What surprised me a bit was the amount of nudity but it was in keeping with the tone of the story.","",,"",Yes
The Court of Miracles,Kester Grant,"",9781524772857,hardcover,to-read,2020/06/22,"","",0,"",,,,,,,,,"",,"physical-copy, ya-sff-by-aoc-2020, maybe-remove-from-tbr",Yes
No One Is Too Small to Make a Difference,Greta Thunberg,"","",,read,,2020/04/03,2020/04/03,1,"",,,,,,,,,"",,"",Yes
The Magic Finger,"Roald Dahl, Quentin Blake","",,,read,2015/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
Skellig,David Almond,"","",,read,2015/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
You're Never Weird on the Internet (Almost),Felicia Day,Joss Whedon,"",hardcover,read,2017/06/19,2018/03/09,2018/03/09,1,"",,,,,,,4.0,"This book makes me want to give up everything in an attempt to do something creative, I'm not going to but if I was looking for inspiration I'd find it here. It was funny at some points, brutally honest in others and often made me want to give Felicia a hug even though she is a complete stranger. What surprised me most is that it was a really, really enjoyable read, I don't usually read anything non fiction at all and I only picked this up for a genre challenge I'm doing but I ended up picking it up to read ALL the time (even during my lunch break). I knew that she ended up a success but wasn't expecting the story of how she got there to be so engaging.","",,"",No
We Ride the Storm,Devin Madson,"",,,to-read,2020/11/16,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
"The Wicked + The Divine, Vol. 6: Imperial Phase, Part II","Jamie McKelvie, Matt Wilson, Kieron Gillen","","",,read,2020/04/18,2020/06/19,2020/06/19,1,"emotional, dark",fast,,It's complicated,It's complicated,Yes,Yes,4.0,"","",,"",Yes
A Curious Beginning,Deanna Raybourn,"","",,read,2017/08/10,2018/06/19,2018/06/19,1,"",,,,,,,3.0,,"",,"",No
Kingdom of Needle and Bone,Mira Grant,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Monstress, Vol. 5","Sana Takeda, Marjorie M. Liu","","",,read,2020/11/09,2020/11/23,2020/11/09-2020/11/23,1,"dark, mysterious, tense",fast,,It's complicated,It's complicated,Yes,Yes,5.0,"","","","",Yes
Upright Women Wanted,Sarah Gailey,"",9781250213655,digital,read,2020/01/11,2021/11/17,2021/11/14-2021/11/17,1,"adventurous, hopeful",fast,A mix,Yes,Yes,Yes,No,4.0,"","","","ebook, kobo",Yes
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary Grandpré (Illustrator),9780590353427,paperback,read,,"","",1,"",,,,,,,4.0,,"",,"",No
A Poem for Every Day of the Year,Allie Esiri,"",,,did-not-finish,2020/01/04,"","",0,"",,,,,,,,,"",,"",No
The Name of the Wind,Patrick Rothfuss,"","",,read,,2015/09/24,2015/09/24,1,"",,,,,,,5.0,,"",,"",No
Nevernight,Jay Kristoff,"","",,read,2019/08/03,2019/09/02,2019/09/02,1,"",,,,,,,5.0,"I can see why this is a polarising book but the writing style definitely worked for me. I would recommend reading the first line and then if you're still interested, the first chapter. It definitely sets the tone of the book and if you don't enjoy it is probably not for you. However if you do, welcome to a wild ride.<br><br>It's not a serious book, it's not particularly profound but it's a super enjoyable, super dark and violent romp. It's unashamed in all that it does and managed to suprise me more than once. <br><br>And the ending. THAT ENDING. It definitely secured it as a five star read for me. Can't wait to read the rest of the series!","",,"",Yes
Dreams of Gods & Monsters,Laini Taylor,"","",,read,2018/01/07,2018/01/07,2018/01/07,1,"",,,,,,,4.0,,"",,"",No
The Dragon Keeper,Robin Hobb,"",9780007273744,hardcover,read,2014/01/06,2014/01/06,2014/01/06,1,"",,,,,,,4.0,,"",,"",No
First Test,Tamora Pierce,"","",,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
The Hate U Give,Angie Thomas,"","",,read,2018/04/07,2018/04/09,2018/04/09,1,"",,,,,,,5.0,,"",,"",No
The Goblin Emperor,Katherine Addison,"",9781786182098,digital,read,2020/11/25,2021/09/13,2021/08/28-2021/09/13,1,adventurous,slow,Character,Yes,Yes,No,No,4.0,"","","","kindle, ebook",Yes
The Will of the Empress,Tamora Pierce,"","",,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
"To Be Taught, If Fortunate",Becky Chambers,"",9781473697164,hardcover,read,,2019/08/07,2019/08/07,1,"",,,,,,,5.0,"4.5 stars. The highs and lows of going into space not to colonize but for science. We see their love for learning, their grief at leaving behind everyone they know, their wonder and their frustrations.","",,"",Yes
Lancelot,Giles Kristian,"",9780593078563,paperback,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Magic Fish,Trung Le Nguyen,"",9781984851598,paperback,read,2021/05/20,2021/06/02,2021/06/02,1,"emotional, hopeful",fast,Character,Yes,Yes,Yes,No,4.5,"","","",physical-copy,Yes
The Wolf of Oren-Yaro,K.S. Villoso,"",9780316532662,paperback,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, adult-sff-by-aoc-2020, ebook",Yes
Jade Legacy,Fonda Lee,"",9780316440974,hardcover,to-read,2021/11/27,"","",0,"",,,,,,,,,"",,physical-copy,Yes
On the Come Up,Angie Thomas,"","",hardcover,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Internment,Samira Ahmed,"",,,to-read,2019/05/25,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Fingersmith,Sarah Waters,"",9781844080625,paperback,to-read,2019/12/20,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,to-read,2019/09/29,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Power,Naomi Alderman,"","",,read,,2019/02/17,"2019/02/17, 2017",2,"",,,,,,,4.0,"A couple of years ago, I read this entire book in a day on the way back from holiday and I really enjoyed it. I loved the exploration of power and the abuse of that power. The second time around I didn't enjoy it as much, though I left my initial rating alone. The first 60% I still love, I was again completely caught up in the story and entranced. After that I found some of the characters' actions and motivations a bit unbelievable. I see what she's trying to do but it felt a bit shoehorned into a mirror of our society. It points out the inequality and injustice but also makes it seem like they are inevitable and there's nothing we can do which is rather grim.","",,"",No
The City We Became,N.K. Jemisin,"",9780316509848,hardcover,read,2020/03/21,2021/06/06,2021/05/22-2021/06/06,1,"adventurous, dark",,A mix,Yes,No,Yes,Yes,3.5,"<div>Okay this one was good but wasn't really my thing. I almost gave up but I'm glad I didn't, I liked how everything came together at the end. I think if I knew more about New York or if I was a fan of Lovecraftian style of horror I'd have loved this. Instead I appreciated how well crafted the book book was, enjoyed the clever commentary on race but I wasn't really invested in the story. </div>","","","physical-copy, adult-sff-by-aoc-2020",Yes
Sorcerer to the Crown,Zen Cho,"",,,read,,2019/04/06,2019/04/06,1,"",,,,,,,4.0,"I really enjoyed reading this! It took me a while to get into it (it's a slow start) but once I'd adjusted to the style of writing and we'd met the main characters it started to really shine. I loved the dynamic between Prunella and Zacharias. They had such distinct personalities so even though I often disagreed with the decisions that they were making, I could see exactly why they were doing it. I liked how the book uses a bunch of ""gentleman"" magicians in Regency England as a way to explore the discrimination that a lot of fiction set in that period ignores. It does this as part of a highly entertaining and whimsical plot full of magic, assassination attempts, politics and more.","",,"",Yes
Blood Heir,Amélie Wen Zhao,"",9780525707813,digital,to-read,2020/11/16,"","",0,"",,,,,,,,,"",,"",No
Children of Time,Adrian Tchaikovsky,"",,,read,,2018/03/02,2018/03/02,1,"",,,,,,,5.0,"This book is incredible (unless you have a phobia of spiders, in which case stay away). So many elements of it blew me away; the creation of a completely new culture and way of living so different from our own, the insane cast of characters spanning centuries and generations intricately connected through space travel and the relatability of the point of view characters, whether we'd been with them since the beginning or just meet them for a short span. There are so many stories in this book which, rather than making it seem disjointed, are fascinating and fit beautifully in to the overall plot.","",,"",No
The Sudden Appearance of Hope,Claire North,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
"Paper Girls, Vol. 1",Brian K. Vaughan,"Cliff Chiang (Illustrator), Matt Wilson (Illustrator)",9781632156747,paperback,read,,2019/06/09,2019/06/09,1,"",,,,,,,4.0,,"",,"",Yes
"Lumberjanes, Vol. 3: A Terrible Plan","Brittney Williams, Grace Ellis, Noelle Stevenson, Shannon Watters, Faith Hicks",Brooklyn A. Allen (Illustrator),"",paperback,to-read,2020/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
The End of the Day,Claire North,"",9780316316750,paperback,to-read,2019/09/28,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Sorcerer of the Wildeeps,Kai Ashante Wilson,"","",,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Twilight,Stephenie Meyer,"",9780316015844,paperback,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
The Witches,Roald Dahl,Quentin Blake (Illustrator),9780141322643,paperback,read,2015/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
The Stars Are Legion,Kameron Hurley,"",9781481447942,paperback,to-read,2019/09/28,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Esio Trot,"Roald Dahl, Quentin Blake","",,,read,2015/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
The Unbroken,C.L. Clark,"","",,to-read,2021/04/15,"","",0,"",,,,,,,,,"",,"physical-copy, priority",Yes
The Light Fantastic,Terry Pratchett,"",0861402030,hardcover,to-read,2019/12/21,"","",0,"",,,,,,,,,"",,physical-copy,Yes
His Dark Materials Trilogy,Philip Pullman,"","",,read,2017/12/27,2017/12/27,2017/12/27,1,"",,,,,,,4.0,,"",,"",No
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"",9781492670124,paperback,read,,2019/01/03,2019/01/03,1,"",,,,,,,4.0,Not what I usually read but it was our book club book so I gave it a try. I really liked the repeating of the day from different perspectives (all of which were done very well). The mystery aspect was cool but I didn't actually care about what was going on until pretty near the end. I was picking it up because I needed to finish it for a deadline rather than being desperate to know what happens. For me the most interesting aspect was seeing Aiden inhabit all of his hosts in turn and dealing with the complications that come with each of them.,"",,"",Yes
Fandemonium,"Jamie McKelvie, Matt Wilson, Kieron Gillen, Clayton Cowles","",,,read,2019/12/07,2019/12/07,2019/12/07,1,"",,,,,,,5.0,"Okay what the hell was that?! Not at all what I was expecting but brilliant anyway, and brutal.","",,"",No
Magician: Master,Raymond E. Feist,"",,,read,2015/01/23,2015/01/01,2015/01/01,1,"",,,,,,,3.0,,"",,"",No
Artificial Condition,Martha Wells,"",B075DGHHQL,digital,read,,2019/06/08,2019/06/08,1,"",,,,,,,4.0,,"",,"",No
Senlin Ascends,Josiah Bancroft,"",9780356510811,paperback,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Giant Days Vol. 10, Volume 10",John Allison,"Max Sarin (Illustrator), Julia Madrigal (Illustrator)",9781684153718,paperback,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
The Fated Sky,Mary Robinette Kowal,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Alanna: The First Adventure,Tamora Pierce,"","",,read,2020/02/02,2020/02/04,2020/02/04,2,"",,,,,,,4.0,,"",,"",Yes
Children of Blood and Bone,Tomi Adeyemi,"",9781250170972,hardcover,to-read,2019/09/23,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Tortall and Other Lands: A Collection of Tales,Tamora Pierce,"",,,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
The Vagrant,Peter Newman,"",,,read,2017/04/30,2017/07/17,2017/07/17,1,"",,,,,,,4.0,,"",,"",No
How to Be an Antiracist,Ibram X. Kendi,"",9780525509288,hardcover,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
She Who Became the Sun,Shelley Parker-Chan,"",9781529043389,hardcover,to-read,2020/12/31,"","",0,"",,,,,,,,,"",,"physical-copy, priority",Yes
Velocity Weapon,Megan E. O'Keefe,"",9780316419598,paperback,to-read,2020/11/16,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Beartown,Fredrik Backman,Neil Smith (Translator),9781405930208,paperback,read,2018/11/23,2018/11/27,2018/11/27,1,"",,,,,,,4.0,,"",,"",No
Pyramids,Terry Pratchett,"","",,read,2018/03/05,2018/03/09,2018/03/09,1,"",,,,,,,3.0,"As always for Discworld, this made me laugh. I find I enjoy Pratchett books in a different way to other books. I'm not in love with the characters or desperate to find out what happens but the process of reading the book is fun. The way it is written is witty and mocks tropes and stereotypes. The world is ridiculous, the plot is ridiculous and the characters are mainly caricatures but it works really well. I will never look at camels in the same way again...","",,"",No
Midnight Robber,Nalo Hopkinson,"",,,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"",No
The Golem and the Djinni,Helene Wecker,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Fever King,Victoria Lee,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Die, Vol. 2: Split the Party",Kieron Gillen,Stephanie Hans (Illustrator),9781534316805,digital,read,2020/02/23,2020/02/23,2020/02/23,1,"emotional, dark, adventurous",fast,,Yes,Yes,Yes,Yes,5.0,"","",,"",Yes
Son of a Trickster,Eden Robinson,"",,,to-read,2021/06/30,"","",0,"",,,,,,,,,"",,"",No
Late Eclipses,Seanan McGuire,"",9781101502532,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela Chen,"",9780807014110,digital,currently-reading,2021/05/13,"","",0,"",,,,,,,,,"",,"",No
Starfish,Akemi Dawn Bowman,"",,,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"",No
"Saga, Vol. 4","Fiona Staples, Brian K. Vaughan","","",,read,,2019/05/09,2019/05/09,1,"",,,,,,,4.0,,"",,"",No
Hunted by the Sky,Tanaz Bhathena,"",,,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,ya-sff-by-aoc-2020,No
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"","",,read,2018/11/23,2018/11/23,2018/11/23,1,"",,,,,,,4.0,,"",,"",No
Battle Magic,Tamora Pierce,"","",,read,2015/06/05,2016/01/04,2016/01/04,1,"",,,,,,,3.0,,"",,"",No
"East of West, Volume 1: The Promise",Jonathan Hickman,Nick Dragotta (Illustrator),9781607067702,paperback,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
Ragged Alice,Gareth L. Powell,"",,,read,2021/01/02,2020/11/01,2020/11/01,1,"",,,,,,,,,"",,"",No
Dispel Illusion,Mark Lawrence,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
A Spindle Splintered,Alix E. Harrow,"",9781250765352,hardcover,read,2021/10/31,2021/11/29,2021/11/27-2021/11/29,1,"adventurous, mysterious, reflective",medium,Character,No,Yes,Yes,No,4.5,"","","","physical-copy, chill",Yes
Radio Silence,Alice Oseman,"","",paperback,read,2019/01/17,2019/01/17,2019/01/17,1,"",,,,,,,4.0,,"",,"",Yes
The Return of the King,J.R.R. Tolkien,"","",,read,,"","",1,"",,,,,,,5.0,,"",,"",No
The Empress of Salt and Fortune,Nghi Vo,"","",,read,2020/04/21,2020/04/26,2020/04/26,1,"reflective, emotional, adventurous",slow,,It's complicated,Yes,Yes,No,4.5,"<div>This was such a beautiful novella. It painted such a detailed world in my mind in a very short amount of time. I loved how the story was told in small bits, triggered by different objects as they were found. I also really liked  the Cleric Chih and their sassy bird Almost Brilliant, travelling the world and recording history, drawn to a place that was until recently forbidden and surprised by what they found. Rabbit's story as they heard it drew me in and held me, a story of resistance and strength as well as loss and sadness. </div>","",,adult-sff-by-aoc-2020,Yes
In the Hand of the Goddess,Tamora Pierce,"",,,read,2013/01/18,2020/01/14,2020/01/14,2,"",,,,,,,4.0,,"",,"",Yes
Daughter of Smoke & Bone,Laini Taylor,"",,,read,,2017/09/17,2017/09/17,1,"",,,,,,,3.0,,"",,"",No
Batman: Nightwalker,Marie Lu,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Dracula,"Bram Stoker, David J. Skal, Nina Auerbach","","",,read,,"","",1,"",,,,,,,3.0,,"",,"",No
Tess of the Road,Rachel Hartman,"",9781101931301,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Maskerade,Terry Pratchett,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
One Salt Sea,Seanan McGuire,"",9781472116345,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Gods of Jade and Shadow,Silvia Moreno-Garcia,Yetta Gottesman (Narrator),9781529414578,audio,read,,2020/03/12,2020/03/12,1,"mysterious, dark, adventurous",medium,,Yes,Yes,Yes,It's complicated,4.0,"<div>I love reading books inspired by mythology that I'm unfamiliar with and the mythology in this one is rich and beautifully told. It follows the classic patterns of myths and fairytales so you can often see where the story is going but the telling of it draws you in and brings you along on the journey. Accidentally waking up a God of Death and being dragged along on a quest to regain his throne is not going to be a pleasant journey but we got to see the good and the bad, and the in-between. Our protagonist becomes aware of the tropes she is following, contrasting with the stories she herself knows and starting to feel the shape of the narrative she is in which was an aspect I really enjoyed. I also liked getting the points of view of some of the villainous characters, while they were the still the classic ""bad guys"" it gave them some extra depth that you often miss in stories like these. </div>","",,"",Yes
Winter's Orbit,Everina Maxwell,"",9781250758835,hardcover,read,2021/02/01,2021/05/30,2021/05/17-2021/05/30,1,"adventurous, funny, hopeful",fast,Character,Yes,Yes,Yes,Yes,4.0,"","","",physical-copy,Yes
The Infinity Courts,Akemi Dawn Bowman,"",9781534456518,digital,to-read,2021/03/27,"","",0,"",,,,,,,,,"",,"",No
The Traitor Baru Cormorant,Seth Dickinson,"",9780765380722,hardcover,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Lean Out: The Struggle for Gender Equality in Tech and Start-Up Culture,Elissa Shevinsky,"",,,read,2019/03/26,2019/03/26,2019/03/26,1,"",,,,,,,4.0,,"",,"",No
The Sparrow,Mary Doria Russell,"",,,read,,2018/03/23,2018/03/23,1,"",,,,,,,4.0,"This book pulls off a non linear timeline incredibly well. Knowing how something is going to end should lessen the blow but it really didn't. The characters are good, the world building is good and first contact was good but for me the most powerful and moving element of the book is the juxtaposition of Emilio in both timelines. Before and After.","",,"",No
The Haunting of Tram Car 015,P. Djèlí Clark,"",9781250294784,digital,read,,2020/06/26,2020/06/26,1,"mysterious, lighthearted, adventurous",fast,,No,Yes,Yes,No,4.5,"<div>THIS WAS SO MUCH FUN!! I love the magical, steampunky version of Cairo and the supernatural mystery was great. I wish this existed as a TV  show with a different mystery each episode. I can't wait to read more in this world.</div>","",,"",No
Domain-Driven Design Distilled,Vaughn Vernon,"",9780134434421,paperback,read,2021/11/16,2021/11/12,2021/11/12,1,"",,,,,,,,,"",,"",No
Dragon Haven,Robin Hobb,"",9780008154400,paperback,read,2014/01/06,2014/01/06,2014/01/06,1,"",,,,,,,4.0,,"",,"",No
The Silmarillion,J.R.R. Tolkien,"Ted Nasmith (Illustrator), Christopher Tolkien (Contributor)",9780007173020,hardcover,to-read,2013/01/18,"","",0,"",,,,,,,,,"",,"",No
A Song of Wraiths and Ruin,Roseanne A. Brown,"",9780062891495,hardcover,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,ya-sff-by-aoc-2020,No
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),"",,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Kingdom of Souls,Rena Barron,"","",,read,2019/09/23,2019/11/03,2019/11/03,1,"emotional, dark, adventurous",fast,,Yes,Yes,Yes,Yes,4.5,<div>I really love the protagonist Arrah and I wish I could just give her a hug. She's headstrong and foolish but also brave and loves with all her heart. She's dealt a really bad hand and does the best that she can. The magic system and mythology is fascinating as is the politics. Sometimes I found the villains strayed a little too into unfathomable evil but often as it developed we were given more insights into their motivation which added some depth</div>,"",,"",Yes
That Ain't Witchcraft,Seanan McGuire,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Die, Vol. 1: Fantasy Heartbreaker","Stephanie Hans, Kieron Gillen","",9781534314894,digital,read,2019/12/03,2019/12/03,2019/12/03,1,"",,,,,,,5.0,"So I'm going to preface this with I've never played D&amp;D (or any role playing games fit that matter) and so I was expecting a lot of references to go over my head. I'm sure there was loads I didn't pick up on but it didn't matter because it was brilliant. It's full of great characters, emotional turmoil, epic fights and fantasy references.","",,"",Yes
